Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:05:36 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:05:49 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 11:05:49 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 11:05:49 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 11:06:02 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1.04528463267653, Time 2/27/2021 11:06:28 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:06:41 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 11:06:54 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 11:06:54 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:06:54 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 11:07:07 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:07:33 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 7, Time 2/27/2021 11:07:46 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:07:46 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 11:07:59 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 11:07:59 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:07:59 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:08:38 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 11:08:51 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 11:08:51 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:08:51 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 11:09:04 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:09:30 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 7, Time 2/27/2021 11:09:43 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:09:43 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 11:09:56 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 11:09:56 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:09:56 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 8.91006524188368, Time 2/27/2021 11:10:09 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:10:35 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 11:10:48 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 11:10:48 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:10:48 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 11:11:01 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1.56434465040231, Time 2/27/2021 11:11:27 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:11:40 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 11:11:53 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 11:11:53 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:11:53 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 11:12:06 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:12:32 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 7, Time 2/27/2021 11:12:45 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:12:45 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 11:12:58 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 11:12:58 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:12:58 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:13:37 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 11:13:50 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 11:13:50 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:13:50 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 11:14:03 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:14:29 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 7, Time 2/27/2021 11:14:42 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:14:42 AM
Tag: tag12, Alarm type: high, Alarm limit: 7, value: 8, Time 2/27/2021 11:14:55 AM
Tag: tag12, Alarm type: high, Alarm limit: 7.9, value: 8, Time 2/27/2021 11:14:55 AM
Tag: tag5, Alarm type: low, Alarm limit: 2, value: 1, Time 2/27/2021 11:14:55 AM
Tag: tag5, Alarm type: high, Alarm limit: 8.8, value: 9, Time 2/27/2021 11:15:08 AM
